ppg_signal,x,y,z
964945.8,1.1345292628398154,1.208136541542625,1000.219526833004
964907.9,1.4283788181302717,1.0535674582964707,1000.8239326826737
964828.06,1.2084327736122928,1.483402443982406,1000.7412530273156
964687.8,1.00925185208269,1.9715459126982893,1000.6322115743301
964533.44,1.2973854272568244,1.9482768383188378,1000.3175264598564
964545.4,1.1640753038704084,1.5063525603706784,1000.0581054062785
964502.7,1.8815770823207165,1.002477569530467,1000.6291640385526
964434.8,1.0263962380925786,1.1097408054337814,1000.7396126592355
964349.0,1.72128856088447,1.1369432321170723,1000.1938023283274
964270.8,1.416594164097671,1.6978255375479703,1000.4669074244468
964168.3,1.9834872296744173,1.1319476759862428,1000.4855657998758
964066.75,1.1032722604034852,1.1028383001641355,1000.6944743383658
964038.9,1.200123663996038,1.2913543227244302,1000.0750643283405
964025.6,1.9770198970979478,1.8547163995635874,1000.0206364790546
963979.25,1.3552997013843062,1.924892096762261,1000.9085107080373
963933.8,1.726872901754426,1.8604303769229105,1000.1963850607752
963861.1,1.0906739671004948,1.2017680362560932,1000.3740285810064
963758.0,1.0546725149308644,1.7781262385268826,1000.6316069062888
963553.5,1.2913592199777129,1.1786124231420279,1000.5596773200938
963346.94,1.696897619125455,1.3278978433802089,1000.2174589879269
963145.94,1.2208459861917165,1.2885572017456384,1000.1444181007884
963039.3,1.6349585656786232,1.3076550062063546,1000.3214986452733
962809.6,1.0662210204945834,1.8213667733615182,1000.3790757142729
962541.4,1.7028462212920865,1.8628149573482635,1000.7618422073676
962262.6,1.7663854092658096,1.8868248988699938,1000.0591093881474
961957.4,1.2537217216214525,1.6015283594617757,1000.0980977181039
961685.7,1.0387487671031226,1.4530349221302024,1000.5070659903652
961413.8,1.7692070664293191,1.167510662525967,1000.913882952753
961183.8,1.7197358208466351,1.2663635499238624,1000.0867687694924
961001.25,1.0178981594527607,1.6804221011517528,1000.1232900727447
960902.3,1.1527125677664791,1.74614941714598,1000.4078878489777
960848.8,1.3478979584993231,1.5778754633845464,1000.20275876249
960858.0,1.7812801443441901,1.5732839746018639,1000.2631530770985
960947.56,1.0283465500392324,1.4795319723803189,1000.375248742927
960970.0,1.261028166130797,1.990837875773313,1000.0714174714501
960837.8,1.2266210894630305,1.273897764381701,1000.0338331319005
960801.0,1.332765466781685,1.8281752993165947,1000.2984716949971
960640.5,1.0164591448919404,1.5894176321789946,1000.0381636656296
960300.56,1.6517462802935166,1.265890256423556,1000.5071546077771
960041.25,1.8032048508106038,1.3614143360367206,1000.1975951483574
959955.7,1.7032767218581486,1.6147440692294532,1000.2332096067533
959902.25,1.1239779150558553,1.8637385726042366,1000.3836707235129
959875.1,1.8615908727451718,1.0991702934743781,1000.3724342853494
959855.8,1.138632554239508,1.4716341326542173,1000.3978085691791
959875.44,1.1930728465575346,1.9213474792763876,1000.4962399399058
959814.4,1.0777127938057347,1.0431818930620185,1000.0310494060841
959815.1,1.3329601482333524,1.794733305839864,1000.0535142587852
959898.6,1.9540189684108713,1.496120009680038,1000.5479845556983
959970.4,1.0725242473251528,1.5970285639715125,1000.865189567042
960078.9,1.701373697832246,1.218964501680793,1000.8037579699604
960126.7,1.02807762892051,1.4066479281901132,1000.0486128661903
960287.75,1.5022036217343522,1.2953888930640998,1000.6872132427536
960285.9,1.4158842031145769,1.4697579030356906,1000.5486574114541
960287.9,1.7203181202479239,1.604242419901233,1000.0993938539721
960142.8,1.8568779742667774,1.2705935471986467,1000.2377703498839
959853.06,1.3653412242369038,1.0451884123389246,1000.0313705030069
959546.0,1.716503102220555,1.5124580880747494,1000.6030690524381
